Node <1> Time <0.025> Event <sendPacket>[]:
Node <2> Time <0.025> Event <sendPacket>[]:
Node <3> Time <0.025> Event <sendPacket>[]:
Node <2> Time <0.054> Event <PacketSent>[]:
Node <1> Time <0.055> Event <PacketReceived>[]:
Node <3> Time <0.055> Event <PacketReceived>[]:
Node <3> Time <0.079> Event <PacketSent>[]:
Node <1> Time <0.079> Event <PacketReceived>[]:
Node <2> Time <0.079> Event <PacketReceived>[]:
Node <1> Time <0.105> Event <PacketSent>[]:
Node <2> Time <0.105> Event <PacketReceived>[]:
Node <3> Time <0.105> Event <PacketReceived>[]:
Node <1> Time <1.000> Event <Results>[ 1	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <2.000> Event <Results>[ 2	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <3.000> Event <Results>[ 3	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <4.000> Event <Results>[ 4	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <5.000> Event <Results>[ 5	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <6.000> Event <Results>[ 6	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <7.000> Event <Results>[ 7	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <8.000> Event <Results>[ 8	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <9.000> Event <Results>[ 9	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <10.000> Event <Results>[ 10	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <11.000> Event <Results>[ 11	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <12.000> Event <Results>[ 12	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <13.000> Event <Results>[ 13	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <14.000> Event <Results>[ 14	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <15.000> Event <Results>[ 15	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <16.000> Event <Results>[ 16	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <17.000> Event <Results>[ 17	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <18.000> Event <Results>[ 18	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <19.000> Event <Results>[ 19	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <20.000> Event <Results>[ 20	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <21.000> Event <Results>[ 21	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <22.000> Event <Results>[ 22	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <23.000> Event <Results>[ 23	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <24.000> Event <Results>[ 24	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <25.000> Event <Results>[ 25	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <26.000> Event <Results>[ 26	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <27.000> Event <Results>[ 27	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <28.000> Event <Results>[ 28	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <29.000> Event <Results>[ 29	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <30.000> Event <Results>[ 30	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <31.000> Event <Results>[ 31	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <32.000> Event <Results>[ 32	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <33.000> Event <Results>[ 33	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <34.000> Event <Results>[ 34	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <35.000> Event <Results>[ 35	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <36.000> Event <Results>[ 36	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <37.000> Event <Results>[ 37	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <38.000> Event <Results>[ 38	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <39.000> Event <Results>[ 39	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <40.000> Event <Results>[ 40	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <41.000> Event <Results>[ 41	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <42.000> Event <Results>[ 42	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <43.000> Event <Results>[ 43	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <44.000> Event <Results>[ 44	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <45.000> Event <Results>[ 45	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <46.000> Event <Results>[ 46	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <47.000> Event <Results>[ 47	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <48.000> Event <Results>[ 48	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <49.000> Event <Results>[ 49	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <50.000> Event <Results>[ 50	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <51.000> Event <Results>[ 51	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <52.000> Event <Results>[ 52	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <53.000> Event <Results>[ 53	 0/0	 0.000	 0.072	 0.000	 ]:
