Node <1> Time <1.000> Event <Results>[ 1	 0/0	 0.000	 1.080	 0.000	 ]:
Node <1> Time <2.000> Event <Results>[ 2	 0/0	 0.000	 1.200	 0.000	 ]:
Node <1> Time <3.000> Event <Results>[ 3	 0/0	 0.000	 1.368	 0.000	 ]:
Node <1> Time <4.000> Event <Results>[ 4	 0/0	 0.000	 1.512	 0.000	 ]:
Node <1> Time <5.000> Event <Results>[ 5	 0/0	 0.000	 1.608	 0.000	 ]:
Node <1> Time <6.000> Event <Results>[ 6	 0/0	 0.000	 1.896	 0.000	 ]:
Node <1> Time <7.000> Event <Results>[ 7	 0/0	 0.000	 2.088	 0.000	 ]:
Node <1> Time <8.000> Event <Results>[ 8	 0/0	 0.000	 2.232	 0.000	 ]:
Node <1> Time <9.000> Event <Results>[ 9	 0/0	 0.000	 2.472	 0.000	 ]:
Node <1> Time <10.000> Event <Results>[ 10	 0/0	 0.000	 2.568	 0.000	 ]:
Node <1> Time <11.000> Event <Results>[ 11	 0/0	 0.000	 2.736	 0.000	 ]:
Node <1> Time <12.000> Event <Results>[ 12	 0/0	 0.000	 3.000	 0.000	 ]:
Node <1> Time <13.000> Event <Results>[ 13	 0/0	 0.000	 3.240	 0.000	 ]:
Node <1> Time <14.000> Event <Results>[ 14	 0/0	 0.000	 3.456	 0.000	 ]:
Node <1> Time <15.000> Event <Results>[ 15	 0/0	 0.000	 3.720	 0.000	 ]:
Node <1> Time <16.000> Event <Results>[ 16	 0/0	 0.000	 4.056	 0.000	 ]:
Node <1> Time <17.000> Event <Results>[ 17	 0/0	 0.000	 4.416	 0.000	 ]:
Node <1> Time <18.000> Event <Results>[ 18	 0/0	 0.000	 4.728	 0.000	 ]:
Node <1> Time <19.000> Event <Results>[ 19	 0/0	 0.000	 5.016	 0.000	 ]:
Node <1> Time <20.000> Event <Results>[ 20	 0/0	 0.000	 5.280	 0.000	 ]:
Node <1> Time <21.000> Event <Results>[ 21	 0/0	 0.000	 5.544	 0.000	 ]:
Node <1> Time <22.000> Event <Results>[ 22	 0/0	 0.000	 5.880	 0.000	 ]:
Node <1> Time <23.000> Event <Results>[ 23	 0/0	 0.000	 6.072	 0.000	 ]:
Node <1> Time <24.000> Event <Results>[ 24	 0/0	 0.000	 6.336	 0.000	 ]:
Node <1> Time <25.000> Event <Results>[ 25	 0/0	 0.000	 6.576	 0.000	 ]:
